family_A,family_B,A_counts,B_counts,C_counts,N_total,chi2,dof,p,cramer_v,q
anthropic,deepseek,54:42,174:68,132:70,540,7.8293869159643235,2,0.019946662198651,0.12041123144953378,0.03324443699775167
anthropic,gemini,54:54,174:183,132:123,720,0.5445378151260504,2,0.761649420259966,0.027500954910846337,0.761649420259966
anthropic,grok,54:58,174:282,132:110,810,17.943327067669173,2,0.00012695681942668854,0.148836338436209,0.0004231893980889618
anthropic,openai,54:95,174:222,132:133,810,7.192632530189838,2,0.02742456141539046,0.09423265488750675,0.03428070176923808
deepseek,gemini,42:54,68:183,70:123,540,9.836603069586937,2,0.007311538700741053,0.1349664091926068,0.014623077401482106
deepseek,grok,42:58,68:282,70:110,630,32.56088888888889,2,8.501446279127612e-08,0.2273410447263845,8.501446279127612e-07
deepseek,openai,42:95,68:222,70:133,630,7.49748804429902,2,0.02354730218105713,0.10909067179869462,0.0336390031157959
gemini,grok,54:58,183:282,123:110,810,12.094918365934221,2,0.0023638605197728096,0.1221965547085303,0.0059096512994320245
gemini,openai,54:95,183:222,123:133,810,5.495910497063765,2,0.06405871152736574,0.08237156480080395,0.0711763461415175
grok,openai,58:95,282:222,110:133,900,18.267524293668085,2,0.00010795866378523618,0.14246841479846248,0.0004231893980889618
