family,model_A,model_B,switch_A,total_A,switch_B,total_B,phi_A,phi_B,diff_phi,z,p,q
openai,gpt41,gpt5,0,90,2,90,0.0,0.022222222222222223,-0.022222222222222223,-1.422136389419932,0.1549866606538713,0.22140951521981614
openai,gpt41,gpt5mini,0,90,37,90,0.0,0.4111111111111111,-0.4111111111111111,-6.8244726223662555,8.824890117303367e-12,6.618667587977526e-11
openai,gpt41,gpt5nano,0,90,64,90,0.0,0.7111111111111111,-0.7111111111111111,-9.965457582448796,2.1587746733524422e-23,6.476324020057327e-22
openai,gpt41,o3,0,90,3,90,0.0,0.03333333333333333,-0.03333333333333333,-1.746667529218746,0.08069502595747448,0.12741319888022284
openai,gpt5,gpt5mini,2,90,37,90,0.022222222222222223,0.4111111111111111,-0.3888888888888889,-6.332313927204475,2.415114620060143e-10,1.4490687720360858e-09
openai,gpt5,gpt5nano,2,90,64,90,0.022222222222222223,0.7111111111111111,-0.6888888888888889,-9.589667485791063,8.836934352010947e-22,1.325540152801642e-20
openai,gpt5,o3,2,90,3,90,0.022222222222222223,0.03333333333333333,-0.01111111111111111,-0.4535573676110726,0.6501474440948545,0.6501474440948545
openai,gpt5mini,gpt5nano,37,90,64,90,0.4111111111111111,0.7111111111111111,-0.30000000000000004,-4.055326113081912,5.006440496571305e-05,0.00012516101241428262
openai,gpt5mini,o3,37,90,3,90,0.4111111111111111,0.03333333333333333,0.37777777777777777,6.095665907605407,1.08982814548312e-09,5.4491407274156e-09
openai,gpt5nano,o3,64,90,3,90,0.7111111111111111,0.03333333333333333,0.6777777777777778,9.405664089933195,5.1702666315786786e-21,5.170266631578678e-20
grok,grok3,grok3mini,0,90,8,90,0.0,0.08888888888888889,-0.08888888888888889,-2.8934569330224726,0.0038102654009453995,0.007144247626772624
grok,grok3,grok4,0,90,3,90,0.0,0.03333333333333333,-0.03333333333333333,-1.746667529218746,0.08069502595747448,0.12741319888022284
grok,grok3,grok4fastnonreasoning,0,90,25,90,0.0,0.2777777777777778,-0.2777777777777778,-5.388159060803247,7.118304164714053e-08,2.3727680549046847e-07
grok,grok3,grok4fastreasoning,0,90,5,90,0.0,0.05555555555555555,-0.05555555555555555,-2.2677868380553634,0.023342202012890816,0.041192121199219084
grok,grok3mini,grok4,8,90,3,90,0.08888888888888889,0.03333333333333333,0.05555555555555556,1.5558458364536356,0.11974475560738876,0.17961713341108315
grok,grok3mini,grok4fastnonreasoning,8,90,25,90,0.08888888888888889,0.2777777777777778,-0.18888888888888888,-3.274685046250033,0.0010577983485275373,0.0022667107468447227
grok,grok3mini,grok4fastreasoning,8,90,5,90,0.08888888888888889,0.05555555555555555,0.03333333333333334,0.8638286333970151,0.3876820358982551,0.4473254260364482
grok,grok4,grok4fastnonreasoning,3,90,25,90,0.03333333333333333,0.2777777777777778,-0.24444444444444446,-4.5243701011334245,6.057564334087161e-06,1.6520630002055892e-05
grok,grok4,grok4fastreasoning,3,90,5,90,0.03333333333333333,0.05555555555555555,-0.02222222222222222,-0.723364233255618,0.4694561392199812,0.502988720592837
grok,grok4fastnonreasoning,grok4fastreasoning,25,90,5,90,0.2777777777777778,0.05555555555555555,0.22222222222222224,4.0,6.334248366623973e-05,0.00014617496230670706
gemini,gemini25flash,gemini25flashlite,45,90,40,90,0.5,0.4444444444444444,0.05555555555555558,0.7465089026901597,0.45536005568009486,0.502988720592837
gemini,gemini25flash,gemini25pro,45,90,36,90,0.5,0.4,0.09999999999999998,1.3483997249264839,0.1775298524121537,0.24208616238020958
gemini,gemini25flash,gemini2flash,45,90,8,90,0.5,0.08888888888888889,0.4111111111111111,6.050596353939039,1.4431061818393254e-09,6.1847407793113945e-09
gemini,gemini25flashlite,gemini25pro,40,90,36,90,0.4444444444444444,0.4,0.0444444444444444,0.6036327274391498,0.5460878490645908,0.5649184645495767
gemini,gemini25flashlite,gemini2flash,40,90,8,90,0.4444444444444444,0.08888888888888889,0.3555555555555555,5.393598899705935,6.906028582240591e-08,2.3727680549046847e-07
gemini,gemini25pro,gemini2flash,36,90,8,90,0.4,0.08888888888888889,0.3111111111111111,4.856221545660243,1.196468325820198e-06,3.5894049774605937e-06
anthropic,claudehaiku35,claudeopus4,0,90,0,90,0.0,0.0,0.0,,,
anthropic,claudehaiku35,claudesonnet37,0,90,1,90,0.0,0.011111111111111112,-0.011111111111111112,-1.0027894056973135,0.3159624815473372,0.37915497785680463
anthropic,claudehaiku35,claudesonnet45,0,90,0,90,0.0,0.0,0.0,,,
anthropic,claudeopus4,claudesonnet37,0,90,1,90,0.0,0.011111111111111112,-0.011111111111111112,-1.0027894056973135,0.3159624815473372,0.37915497785680463
anthropic,claudeopus4,claudesonnet45,0,90,0,90,0.0,0.0,0.0,,,
anthropic,claudesonnet37,claudesonnet45,1,90,0,90,0.011111111111111112,0.0,0.011111111111111112,1.0027894056973135,0.3159624815473372,0.37915497785680463
deepseek,deepseekchat,deepseekreasoner,0,90,8,90,0.0,0.08888888888888889,-0.08888888888888889,-2.8934569330224726,0.0038102654009453995,0.007144247626772624
